,Statement,Verbs/Skills,Grade,Subject
0,"(1) Scientific investigation and reasoning. The student, for at least 40% of the instructional time, conducts laboratory and field investigations following safety procedures and environmentally appropriate and ethical practices. The student is expected to: (A) demonstrate safe practices during laboratory and field investigations as outlined in Texas Education Agency-approved safety standards; and (B) practice appropriate use and conservation of resources, including disposal, reuse, or recycling of materials.",conduct; follow; expect; demonstrate; outline; approve; include,Grade 7,SCIENCE
1,"(2) Scientific investigation and reasoning. The student uses scientific practices during laboratory and field investigations. The student is expected to: (A) plan and implement comparative and descriptive investigations by making observations, asking well defined questions, and using appropriate equipment and technology; (B) design and implement experimental investigations by making observations, asking well defined questions, formulating testable hypotheses, and using appropriate equipment and technology; (C) collect and record data using the International System of Units (SI) and qualitative means such as labeled drawings, writing, and graphic organizers; (D) construct tables and graphs, using repeated trials and means, to organize data and identify patterns; and (E) analyze data to formulate reasonable explanations, communicate valid conclusions supported by the data, and predict trends.",use; expect; implement; make; ask; define; use; implement; make; ask; define; formulate; use; use; label; construct; use; repeat; organize; identify; analyze; formulate; communicate; support; predict,Grade 7,SCIENCE
2,"(3) Scientific investigation and reasoning. The student uses critical thinking, scientific reasoning, and problem solving to make informed decisions and knows the contributions of relevant scientists. The student is expected to: (A) analyze, evaluate, and critique scientific explanations by using empirical evidence, logical reasoning, and experimental and observational testing, so as to encourage critical thinking by the student; (B) use models to represent aspects of the natural world such as human body systems and plant and animal cells; (C) identify advantages and limitations of models such as size, scale, properties, and materials; and (D) relate the impact of research on scientific thought and society, including the history of science and contributions of scientists as related to the content.",use; solve; make; know; expect; evaluate; critique; use; encourage; represent; identify; relate; include; relate,Grade 7,SCIENCE
3,"(4) Science investigation and reasoning. The student knows how to use a variety of tools and safety equipment to conduct science inquiry. The student is expected to: (A) use appropriate tools, including life science models, hand lenses, stereoscopes, microscopes, beakers, Petri dishes, microscope slides, graduated cylinders, test tubes, meter sticks, metric rulers, metric tape measures, timing devices, hot plates, balances, thermometers, calculators, water test kits, computers, temperature and pH probes, collecting nets, insect traps, globes, digital cameras, journals/notebooks, and other necessary equipment to collect, record, and analyze information; and (B) use preventative safety equipment, including chemical splash goggles, aprons, and gloves, and be prepared to use emergency safety equipment, including an eye/face wash, a fire blanket, and a fire extinguisher.",know; use; conduct; expect; use; include; graduate; collect; collect; analyze; use; include; use; include,Grade 7,SCIENCE
4,"(5) Matter and energy. The student knows that interactions occur between matter and energy. The student is expected to: (A) recognize that radiant energy from the Sun is transformed into chemical energy through the process of photosynthesis; and (B) diagram the flow of energy through living systems, including food chains, food webs, and energy pyramids.",know; occur; expect; recognize; transform; diagram; include,Grade 7,SCIENCE
5,(6) Matter and energy. The student knows that matter has physical and chemical properties and can undergo physical and chemical changes. The student is expected to distinguish between physical and chemical changes in matter.,know; have; undergo; expect; distinguish,Grade 7,SCIENCE
6,"(7) Force, motion, and energy. The student knows that there is a relationship among force, motion, and energy. The student is expected to: (A) illustrate the transformation of energy within an organism such as the transfer from chemical energy to thermal energy; and (B) demonstrate and illustrate forces that affect motion in organisms such as emergence of seedlings, turgor pressure, geotropism, and circulation of blood.",know; be; expect; illustrate; demonstrate; affect,Grade 7,SCIENCE
7,"(8) Earth and space. The student knows that natural events and human activity can impact Earth systems. The student is expected to: (A) predict and describe how catastrophic events such as floods, hurricanes, or tornadoes impact ecosystems; (B) analyze the effects of weathering, erosion, and deposition on the environment in ecoregions of Texas; and (C) model the effects of human activity on groundwater and surface water in a watershed.",know; impact; expect; predict; describe; analyze,Grade 7,SCIENCE
8,"(9) Earth and space. The student knows components of our solar system. The student is expected to: (A) analyze the characteristics of objects in our solar system that allow life to exist such as the proximity of the Sun, presence of water, and composition of the atmosphere; and (B) identify the accommodations, considering the characteristics of our solar system, that enabled manned space exploration.",know; expect; analyze; allow; exist; identify; consider; enable; man,Grade 7,SCIENCE
9,"(10) Organisms and environments. The student knows that there is a relationship between organisms and the environment. The student is expected to: (A) observe and describe how different environments, including microhabitats in schoolyards and biomes, support different varieties of organisms; (B) describe how biodiversity contributes to the sustainability of an ecosystem; and (C) observe, record, and describe the role of ecological succession such as in a microhabitat of a garden with weeds.",know; be; expect; describe; include; support; describe; contribute; describe,Grade 7,SCIENCE
