,Statement,Verbs/Skills,Grade,Subject
0,"(1) History. The student understands traditional historical points of reference in Texas history. The student is expected to: (A) identify the major eras in Texas history, describe their defining characteristics, and explain the purpose of dividing the past into eras, including Natural Texas and its People; Age of Contact; Spanish Colonial; Mexican National; Revolution and Republic; Early Statehood; Texas in the Civil War and Reconstruction; Cotton, Cattle, and Railroads; Age of Oil; Texas in the Great Depression and World War II; Civil Rights; and Contemporary Texas; and (B) explain the significance of the following dates: 1519, mapping of the Texas coast and first mainland Spanish settlement; 1718, founding of San Antonio; 1821, independence from Spain; 1836, Texas independence; 1845, annexation; 1861, Civil War begins; 1876, adoption of current state constitution; and 1901, discovery of oil at Spindletop.",understand; expect; identify; describe; define; explain; divide; include; explain; follow; found; begin,Grade 7,SOCIAL STUDIES
1,"(2) History. The student understands how individuals, events, and issues through the Mexican National Era shaped the history of Texas. The student is expected to: (A) compare the cultures of American Indians in Texas prior to European colonization such as Gulf, Plains, Puebloan, and Southeastern; (B) identify important individuals, events, and issues related to European exploration of Texas such as Alonso Álvarez de Pineda, Álvar Núñez Cabeza de Vaca, the search for gold, and the conflicting territorial claims between France and Spain; (C) identify important individuals, events, and issues related to European colonization of Texas, including the establishment of Catholic missions, towns, and ranches, and the contributions of individuals such as Fray Damián Massanet, Antonio Margil de Jesús, and Francisco Hidalgo; (D) identify the individuals, issues, and events related to Mexico becoming an independent nation and its impact on Texas, including Father Miguel Hidalgo, Texas involvement in the fight for independence, José Gutiérrez de Lara, the Battle of Medina, the Mexican federal Constitution of 1824, the merger of Texas and Coahuila as a state, the State Colonization Law of 1825, and slavery; (E) identify the contributions of significant individuals, including Moses Austin, Stephen F. Austin, Erasmo Seguín, Martín De León, and Green DeWitt, during the Mexican settlement of Texas; and (F) contrast Spanish, Mexican, and Anglo purposes for and methods of settlement in Texas.",understand; shape; expect; compare; identify; relate; conflict; identify; relate; include; identify; relate; become; include; identify; include; contrast,Grade 7,SOCIAL STUDIES
2,"(3) History. The student understands how individuals, events, and issues related to the Texas Revolution shaped the history of Texas. The student is expected to: (A) describe the chain of events that led to the Texas Revolution, including the Fredonian Rebellion, the Mier y Terán Report, the Law of April 6, 1830, the Turtle Bayou Resolutions, and the arrest of Stephen F. Austin; (B) explain the roles played by significant individuals during the Texas Revolution, including George Childress, Lorenzo de Zavala, James Fannin, Sam Houston, Antonio López de Santa Anna, Juan N. Seguín, and William B. Travis; and (C) explain the issues surrounding significant events of the Texas Revolution, including the Battle of Gonzales; the siege of the Alamo, William B. Travis's letter ""To the People of Texas and All Americans in the World,"" and the heroism of the diverse defenders who gave their lives there; the Constitutional Convention of 1836; Fannin's surrender at Goliad; and the Battle of San Jacinto.",understand; relate; shape; expect; describe; lead; include; explain; play; include; explain; surround; include; give,Grade 7,SOCIAL STUDIES
3,"(4) History. The student understands how individuals, events, and issues shaped the history of the Republic of Texas and early Texas statehood. The student is expected to: (A) identify individuals, events, and issues during the administrations of Republic of Texas Presidents Houston, Lamar, and Jones such as the Texas Navy, the Texas Rangers, Jack Coffee Hays, Chief Bowles, William Goyens, Mary Maverick, José Antonio Navarro, the Córdova Rebellion, the Council House Fight, the Santa Fe Expedition, slavery, and the roles of racial and ethnic groups; (B) analyze the causes of and events leading to Texas annexation such as security and public debt; and (C) identify individuals, events, and issues during early Texas statehood, including the U.S.-Mexican War, the Treaty of Guadalupe-Hidalgo, slavery, and the Compromise of 1850.",understand; shape; expect; identify; analyze; lead; identify; include,Grade 7,SOCIAL STUDIES
4,"(5) History. The student understands how events and issues shaped the history of Texas during the Civil War and Reconstruction. The student is expected to: (A) explain the central role the expansion of slavery played in the involvement of Texas in the Civil War; (B) identify significant events concerning Texas and the Civil War such as the Battle of Galveston, the Battle of Sabine Pass, and the Battle of Palmito Ranch; and (C) explain the political, economic, and social effects of the Civil War and Reconstruction in Texas.",understand; shape; expect; explain; play; identify; concern; explain,Grade 7,SOCIAL STUDIES
5,"(6) History. The student understands how individuals, events, and issues shaped the history of Texas from Reconstruction through the beginning of the 20th century. The student is expected to: (A) identify significant individuals, events, and issues, including the factors leading to the expansion of the Texas frontier, the effects of westward expansion on American Indians, the buffalo soldiers, and Quanah Parker; (B) identify significant individuals, events, and issues, including the development of the cattle industry from its Spanish beginnings and the cowboy way of life; (C) identify significant individuals, events, and issues, including the effects of the growth of railroads and the contributions of James Hogg; and (D) explain the political, economic, and social impact of the agricultural industry and the development of West Texas resulting from the close of the frontier.",understand; shape; expect; identify; include; lead; identify; include; identify; include; explain; result,Grade 7,SOCIAL STUDIES
6,"(7) History. The student understands how individuals, events, and issues shaped the history of Texas during the late 19th, 20th, and early 21st centuries. The student is expected to: (A) explain how the oil industry led to the industrialization of Texas; (B) define and trace the impact of ""boom-and-bust"" cycles of leading Texas industries throughout the 20th and early 21st centuries such as farming, oil and gas production, cotton, ranching, real estate, banking, and computer technology; (C) describe and compare the impact of reform movements in Texas in the 19th and 20th centuries such as progressivism, populism, women's suffrage, agrarianism, labor reform, and the conservative movement of the late 20th century; (D) describe and compare the civil rights and equal rights movements of various groups in Texas in the 20th century and identify key leaders in these movements such as James L. Farmer Jr., Hector P. Garcia, Oveta Culp Hobby, Lyndon B. Johnson, the League of United Latin American Citizens (LULAC), Jane McCallum, and Lulu Belle Madison White; and (E) analyze the political, economic, and social impact of World War I, the Great Depression, World War II, and significant issues in the latter half of the 20th and early 21st centuries such as political and economic controversies, immigration, and migration on the history of Texas.",understand; shape; expect; explain; lead; define; trace; lead; ranch; describe; compare; describe; compare; identify; analyze,Grade 7,SOCIAL STUDIES
7,"(8) Geography. The student understands the location and characteristics of places and regions of Texas. The student is expected to: (A) locate and compare the Mountains and Basins, Great Plains, North Central Plains, and Coastal Plains regions; (B) locate and compare places of importance in Texas in terms of physical and human characteristics such as major cities, waterways, natural and historic landmarks, political and cultural regions, and local points of interest; and (C) analyze the effects of physical and human factors such as climate, weather, landforms, irrigation, transportation, and communication on major events in Texas.",understand; expect; compare; locate; compare; analyze,Grade 7,SOCIAL STUDIES
8,"(9) Geography. The student understands the effects of the interaction between humans and the environment in Texas. The student is expected to: (A) identify ways in which Texans have adapted to and modified the environment and explain the positive and negative consequences of the modifications; and (B) explain ways in which geographic factors such as the Galveston Hurricane of 1900, the Dust Bowl, limited water resources, and alternative energy sources have affected the political, economic, and social development of Texas.",understand; expect; identify; adapt; modify; explain; explain; affect,Grade 7,SOCIAL STUDIES
9,"(10) Geography. The student understands the characteristics, distribution, and migration of population in Texas in the 19th, 20th, and 21st centuries. The student is expected to: (A) identify why immigrant groups came to Texas and where they settled; (B) describe how immigration and migration to Texas have influenced Texas; (C) describe the structure of the population of Texas using demographic concepts such as growth rate and age distribution; and (D) analyze the effects of the changing population distribution and growth in Texas and the additional need for education, health care, and transportation.",understand; expect; identify; come; settle; describe; influence; describe; use; analyze; change,Grade 7,SOCIAL STUDIES
