,Statement,Verbs/Skills,Grade,Subject
0,"(1) History. The student understands the reasons for and the role of key people in the European colonization of North America beginning in 1565, the founding of St. Augustine. The student is expected to: (A) explain when, where, and why groups of people explored, colonized, and settled in the United States, including the search for religious freedom and economic gain; and (B) describe the accomplishments of significant individuals who settled for religious freedom and economic gain during the colonial period, including William Bradford, Anne Hutchinson, William Penn, John Smith, and Roger Williams.",understand; begin; expect; explain; explore; colonize; settle; include; describe; settle; include,Grade 5,SOCIAL STUDIES
1,"(2) History. The student understands how conflict between the American colonies and Great Britain led to American independence and the formation of the United States. The student is expected to: (A) analyze the causes and effects of events prior to and during the American Revolution, including the taxation resulting from the French and Indian War and the colonist response to taxation such as the Boston Tea Party; (B) identify the Founding Fathers and Patriot heroes, including John Adams, Benjamin Franklin, Thomas Jefferson, the Sons of Liberty, and George Washington, and their motivations and contributions during the revolutionary period; and (C) summarize the results of the American Revolution, including the establishment of the United States.",understand; lead; expect; analyze; include; result; identify; include; summarize; include,Grade 5,SOCIAL STUDIES
2,(3) History. The student understands the significant individuals who contributed to the creation of the U.S. Constitution and the government it established. The student is expected to identify the contributions of Founding Fathers James Madison and George Mason who helped create the U.S. Constitution.,understand; contribute; establish; expect; identify; found; help; create,Grade 5,SOCIAL STUDIES
3,"(4) History. The student understands political, economic, and social changes that occurred in the United States during the 19th century. The student is expected to: (A) describe the causes and effects of the War of 1812 such as impressment of sailors, territorial conflicts with Great Britain, and the increase in U.S. manufacturing; (B) identify and explain how changes resulting from the Industrial Revolution led to conflict among sections of the United States; (C) identify significant events and concepts associated with U.S. territorial expansion, including the Louisiana Purchase, the expedition of Lewis and Clark, and Manifest Destiny; (D) explain the central role of the expansion of slavery in causing sectionalism, disagreement over states' rights, and the Civil War; (E) explain the effects of the Civil War, including Reconstruction and the 13th, 14th, and 15th amendments to the U.S. Constitution; and (F) identify the challenges, opportunities, and contributions of people from various American Indian and immigrant groups such as the settlement of the frontier and building of the Transcontinental Railroad.",understand; occur; expect; describe; identify; explain; result; lead; identify; associate; include; explain; cause; explain; include; identify,Grade 5,SOCIAL STUDIES
4,"(5) History. The student understands important issues, events, and individuals in the United States during the 20th and 21st centuries. The student is expected to: (A) explain the significance of issues and events of the 20th century such as industrialization, urbanization, the Great Depression, the world wars, the civil rights movement, and military actions; (B) analyze various issues and events of the 21st century such as the War on Terror and the 2008 presidential election; and (C) identify the accomplishments and contributions of individuals and groups such as Susan B. Anthony, Martin Luther King Jr., Rosa Parks, Cesar Chavez, Franklin D. Roosevelt, Ronald Reagan, the Tuskegee Airmen, and the 442nd Regimental Combat Team in the areas of civil rights, women's rights, military actions, and politics.",understand; expect; explain; analyze; identify,Grade 5,SOCIAL STUDIES
5,"(6) Geography. The student understands places and regions in the United States. The student is expected to: (A) describe political and economic regions in the United States that result from patterns of human activity; (B) describe regions in the United States based on physical characteristics such as landform, climate, and vegetation; (C) locate on a map important political features such as the five largest cities by population in the United States and the 50 states; and (D) create a map of important physical features such as the Appalachian Mountains, Great Lakes, Mississippi River, Great Plains, and Rocky Mountains.",understand; expect; describe; result; describe; base; locate; create,Grade 5,SOCIAL STUDIES
6,"(7) Geography. The student understands the location and patterns of settlement and the geographic factors that influence where people live. The student is expected to: (A) identify and describe the patterns of settlement such as rural, urban, and suburban; (B) explain the geographic factors that influence patterns of settlement and the distribution of population in the United States; and (C) analyze the geographic factors that influence the location of the five largest urban areas in the United States and explain their distribution.",understand; influence; live; expect; identify; describe; explain; influence; analyze; influence; explain,Grade 5,SOCIAL STUDIES
7,(8) Geography. The student understands how people adapt to and modify their environment. The student is expected to: (A) describe how and why people have adapted to and modified their environment in the United States such as the use of human resources to meet basic needs; and (B) analyze the positive and negative consequences of human modification of the environment in the United States.,understand; adapt; modify; expect; describe; adapt; modify; meet; analyze,Grade 5,SOCIAL STUDIES
8,(9) Economics. The student understands the basic economic patterns of early societies in the United States. The student is expected to: (A) explain the economic patterns of early European colonies; and (B) identify major industries of colonial America such as shipbuilding and growing of cash crops.,understand; expect; explain; identify; grow,Grade 5,SOCIAL STUDIES
9,"(10) Economics. The student understands the development, characteristics, and benefits of the free enterprise system in the United States. The student is expected to: (A) identify the development of the free enterprise system in colonial America and the United States; (B) describe how the free enterprise system works in the United States; and (C) give examples of the benefits of the free enterprise system in the United States.",understand; expect; identify; describe; work; give,Grade 5,SOCIAL STUDIES
10,"(11) Economics. The student understands the impact of supply and demand on consumers and producers in a free enterprise system. The student is expected to: (A) explain how supply and demand affects consumers in the United States; and (B) evaluate the effects of supply and demand on industry and agriculture, including the plantation system, in the United States.",understand; expect; explain; affect; evaluate; include,Grade 5,SOCIAL STUDIES
11,"(12) Economics. The student understands patterns of work and economic activities in the United States. The student is expected to: (A) compare how people in different regions of the United States earn a living, past and present; (B) identify and explain how geographic factors have influenced the location of economic activities in the United States; (C) analyze the effects of immigration and migration on the economic development and growth of the United States; and (D) describe the impact of mass production, specialization, and division of labor on the economic growth of the United States.",understand; expect; compare; earn; identify; explain; influence; analyze; describe,Grade 5,SOCIAL STUDIES
12,"(13) Government. The student understands the organization of governments in colonial America. The student is expected to: (A) compare the systems of government of early European colonists, including representative government and monarchy; and (B) identify examples of representative government in the American colonies, including the Mayflower Compact and the Virginia House of Burgesses.",understand; expect; compare; include; identify; include,Grade 5,SOCIAL STUDIES
13,"(14) Government. The student understands important ideas in the Declaration of Independence, the U.S. Constitution, and the Bill of Rights. The student is expected to: (A) explain the purposes, key elements, and the importance of the Declaration of Independence; (B) explain the purposes of the U.S. Constitution as identified in the Preamble; and (C) explain the reasons for the creation of the Bill of Rights and its importance.",understand; expect; explain; explain; identify; explain,Grade 5,SOCIAL STUDIES
14,(15) Government. The student understands the framework of government created by the U.S. Constitution of 1787. The student is expected to: (A) identify and explain the basic functions of the three branches of government; (B) identify the reasons for and describe the system of checks and balances outlined in the U.S. Constitution; and (C) distinguish between national and state governments and compare their responsibilities in the U.S. federal system.,understand; create; expect; identify; explain; identify; describe; outline; compare,Grade 5,SOCIAL STUDIES
