,Statement,Verbs/Skills,Grade,Subject
0,"(1) Mathematical process standards. The student uses mathematical processes to acquire and demonstrate mathematical understanding. The student is expected to: (A) apply mathematics to problems arising in everyday life, society, and the workplace; (B) use a problem-solving model that incorporates analyzing given information, formulating a plan or strategy, determining a solution, justifying the solution, and evaluating the problem-solving process and the reasonableness of the solution; (C) select tools, including real objects, manipulatives, paper and pencil, and technology as appropriate, and techniques, including mental math, estimation, and number sense as appropriate, to solve problems; (D) communicate mathematical ideas, reasoning, and their implications using multiple representations, including symbols, diagrams, graphs, and language as appropriate; (E) create and use representations to organize, record, and communicate mathematical ideas; (F) analyze mathematical relationships to connect and communicate mathematical ideas; and (G) display, explain, and justify mathematical ideas and arguments using precise mathematical language in written or oral communication.",use; acquire; demonstrate; expect; apply; arise; use; solve; incorporate; analyze; give; formulate; determine; justify; evaluate; solve; include; include; solve; communicate; use; include; create; use; organize; communicate; analyze; connect; communicate; explain; justify; use; write,Grade 8,MATHEMATICS
1,"(2) Number and operations. The student applies mathematical process standards to represent and use real numbers in a variety of forms. The student is expected to: (A) extend previous knowledge of sets and subsets using a visual representation to describe relationships between sets of real numbers; (B) approximate the value of an irrational number, including π and square roots of numbers less than 225, and locate that rational number approximation on a number line; (C) convert between standard decimal notation and scientific notation; and (D) order a set of real numbers arising from mathematical and real-world contexts.",apply; represent; use; expect; extend; use; describe; approximate; include; locate; order; arise,Grade 8,MATHEMATICS
2,"(3) Proportionality. The student applies mathematical process standards to use proportional relationships to describe dilations. The student is expected to: (A) generalize that the ratio of corresponding sides of similar shapes are proportional, including a shape and its dilation; (B) compare and contrast the attributes of a shape and its dilation(s) on a coordinate plane; and (C) use an algebraic representation to explain the effect of a given positive rational scale factor applied to two-dimensional figures on a coordinate plane with the origin as the center of dilation.",apply; use; describe; expect; generalize; correspond; include; compare; contrast; use; explain; give; apply,Grade 8,MATHEMATICS
3,"(4) Proportionality. The student applies mathematical process standards to explain proportional and non-proportional relationships involving slope. The student is expected to: (A) use similar right triangles to develop an understanding that slope, (y (x (x (x (B) graph proportional relationships, interpreting the unit rate as the slope of the line that models the relationship; and (C) use data from a table or graph to determine the rate of change or slope and",apply; explain; involve; expect; use; develop; interpret; model; use; determine,Grade 8,MATHEMATICS
4,"(5) Proportionality. The student applies mathematical process standards to use proportional and non-proportional relationships to develop foundational concepts of functions. The student is expected to: (A) represent linear proportional situations with tables, graphs, and equations in the form of (B) represent linear non-proportional situations with tables, graphs, and equations in the form of (C) contrast bivariate sets of data that suggest a linear relationship with bivariate sets of data that do not suggest a linear relationship from a graphical representation; (D) use a trend line that approximates the linear relationship between bivariate sets of data to make predictions; (E) solve problems involving direct variation; (F) distinguish between proportional and non-proportional situations using tables, graphs, and equations in the form (G) identify functions using sets of ordered pairs, tables, mappings, and graphs; (H) identify examples of proportional and non-proportional functions that arise from mathematical and real-world problems; and (I) write an equation in the form",apply; use; develop; expect; represent; represent; suggest; suggest; use; approximate; make; solve; involve; use; identify; use; order; identify; arise; write,Grade 8,MATHEMATICS
5,"(6) Expressions, equations, and relationships. The student applies mathematical process standards to develop mathematical relationships and make connections to geometric formulas. The student is expected to: (A) describe the volume formula (B) model the relationship between the volume of a cylinder and a cone having both congruent bases and heights and connect that relationship to the formulas; and (C) use models and diagrams to explain the Pythagorean theorem.",apply; develop; make; expect; describe; have; connect; explain,Grade 8,MATHEMATICS
6,"(7) Expressions, equations, and relationships. The student applies mathematical process standards to use geometry to solve problems. The student is expected to: (A) solve problems involving the volume of cylinders, cones, and spheres; (B) use previous knowledge of surface area to make connections to the formulas for lateral and total surface area and determine solutions for problems involving rectangular prisms, triangular prisms, and cylinders; (C) use the Pythagorean Theorem and its converse to solve problems; and (D) determine the distance between two points on a coordinate plane using the Pythagorean Theorem.",apply; use; solve; expect; solve; involve; use; make; determine; involve; use; solve; determine; use,Grade 8,MATHEMATICS
7,"(8) Expressions, equations, and relationships. The student applies mathematical process standards to use one-variable equations or inequalities in problem situations. The student is expected to: (A) write one-variable equations or inequalities with variables on both sides that represent problems using rational number coefficients and constants; (B) write a corresponding real-world problem when given a one-variable equation or inequality with variables on both sides of the equal sign using rational number coefficients and constants; (C) model and solve one-variable equations with variables on both sides of the equal sign that represent mathematical and real-world problems using rational number coefficients and constants; and (D) use informal arguments to establish facts about the angle sum and exterior angle of triangles, the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",apply; use; expect; write; represent; use; write; give; use; solve; represent; use; use; establish; create; cut,Grade 8,MATHEMATICS
8,"(9) Expressions, equations, and relationships. The student applies mathematical process standards to use multiple representations to develop foundational concepts of simultaneous linear equations. The student is expected to identify and verify the values of",apply; use; develop; expect; identify; verify,Grade 8,MATHEMATICS
9,"(10) Two-dimensional shapes. The student applies mathematical process standards to develop transformational geometry concepts. The student is expected to: (A) generalize the properties of orientation and congruence of rotations, reflections, translations, and dilations of two-dimensional shapes on a coordinate plane; (B) differentiate between transformations that preserve congruence and those that do not; (C) explain the effect of translations, reflections over the (D) model the effect on linear and area measurements of dilated two-dimensional shapes.",apply; develop; expect; generalize; preserve; do; explain; dilate,Grade 8,MATHEMATICS
10,"(11) Measurement and data. The student applies mathematical process standards to use statistical procedures to describe data. The student is expected to: (A) construct a scatterplot and describe the observed data to address questions of association such as linear, non-linear, and no association between bivariate data; (B) determine the mean absolute deviation and use this quantity as a measure of the average distance data are from the mean using a data set of no more than 10 data points; and (C) simulate generating random samples of the same size from a population with known characteristics to develop the notion of a random sample being representative of the population from which it was selected.",apply; use; describe; expect; construct; describe; address; determine; use; use; generate; know; develop; select,Grade 8,MATHEMATICS
11,"(12) Personal financial literacy. The student applies mathematical process standards to develop an economic way of thinking and problem solving useful in one's life as a knowledgeable consumer and investor. The student is expected to: (A) solve real-world problems comparing how interest rate and loan length affect the cost of credit; (B) calculate the total cost of repaying a loan, including credit cards and easy access loans, under various rates of interest and over different periods using an online calculator; (C) explain how small amounts of money invested regularly, including money saved for college and retirement, grow over time; (D) calculate and compare simple interest and compound interest earnings; (E) identify and explain the advantages and disadvantages of different payment methods; (F) analyze situations to determine if they represent financially responsible decisions and identify the benefits of financial responsibility and the costs of financial irresponsibility; and (G) estimate the cost of a two-year and four-year college education, including family contribution, and devise a periodic savings plan for accumulating the money needed to contribute to the total cost of attendance for at least the first year of college.",apply; develop; solve; expect; solve; compare; affect; calculate; repay; include; use; explain; invest; include; save; grow; calculate; compare; identify; explain; analyze; determine; represent; identify; estimate; include; devise; accumulate; need; contribute,Grade 8,MATHEMATICS
