,Verb/Skill,Frequency,Grade,Subject
0,develop,14,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
1,sustain,7,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
2,speak,15,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
3,think,9,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
4,listen,5,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
5,expect,13,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
6,ask,2,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
7,clarify,2,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
8,make,5,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
9,follow,2,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
10,give,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
11,involve,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
12,express,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
13,support,6,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
14,employ,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
15,communicate,3,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
16,work,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
17,share,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
18,begin,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
19,read,9,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
20,spell,2,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
21,apply,3,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
22,decode,3,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
23,antepenultimate,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
24,use,33,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
25,segment,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
26,combine,2,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
27,include,16,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
28,differentiate,2,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
29,base,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
30,demonstrate,3,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
31,have,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
32,mark,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
33,conjugate,1,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
34,write,4,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
35,complete,2,Grade 4,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
