,Verb/Skill,Frequency,Grade,Subject
0,develop,14,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
1,sustain,7,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
2,speak,15,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
3,think,9,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
4,listen,5,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
5,expect,13,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
6,interpret,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
7,ask,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
8,clarify,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
9,respond,3,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
10,follow,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
11,give,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
12,include,15,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
13,employ,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
14,communicate,3,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
15,participate,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
16,lead,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
17,elicit,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
18,consider,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
19,take,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
20,identify,5,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
21,begin,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
22,read,9,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
23,spell,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
24,apply,3,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
25,differentiate,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
26,confuse,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
27,decode,3,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
28,antepenultimate,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
29,use,32,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
30,demonstrate,3,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
31,mark,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
32,conjugate,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
33,write,6,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
34,acquire,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
35,determine,3,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
36,derive,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
37,adjust,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
38,base,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
39,deepen,3,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
40,establish,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
41,assign,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
42,select,4,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
43,generate,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
44,gain,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
45,make,4,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
46,correct,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
47,confirm,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
48,create,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
49,support,4,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
50,evaluate,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
51,monitor,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
52,annotate,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
53,understand,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
54,break,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
55,hear,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
56,view,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
57,describe,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
58,compare,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
59,summarize,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
60,maintain,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
61,discuss,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
62,reflect,3,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
63,present,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
64,recognize,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
65,analyze,15,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
66,infer,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
67,rise,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
68,fall,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
69,control,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
70,explain,3,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
71,intend,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
72,influence,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
73,contribute,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
74,achieve,3,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
75,compose,5,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
76,organize,1,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
77,revise,2,Grade 6,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
