,Verb/Skill,Frequency,Grade,Subject
0,embody,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
1,interconnect,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
2,listen,3,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
3,speak,6,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
4,think,6,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
5,integrate,5,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
6,develop,7,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
7,sustain,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
8,focus,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
9,ensure,4,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
10,continue,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
11,increase,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
12,adapt,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
13,evolve,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
14,mirror,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
15,intend,3,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
16,include,8,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
17,accelerate,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
18,require,3,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
19,present,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
20,engage,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
21,read,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
22,nuance,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
23,demand,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
